"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 13:52:30 GMT 2021","Thu Aug 19 13:52:32 GMT 2021","2634","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"passed","Thu Aug 19 13:54:22 GMT 2021","Thu Aug 19 13:54:31 GMT 2021","9625","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Thu Aug 19 13:52:27 GMT 2021","Thu Aug 19 13:52:30 GMT 2021","2618","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"passed","Thu Aug 19 13:52:41 GMT 2021","Thu Aug 19 13:52:55 GMT 2021","14407","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"broken","Thu Aug 19 13:52:14 GMT 2021","Thu Aug 19 13:52:27 GMT 2021","12592","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"passed","Thu Aug 19 13:52:55 GMT 2021","Thu Aug 19 13:53:07 GMT 2021","11992","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Thu Aug 19 13:53:52 GMT 2021","Thu Aug 19 13:54:03 GMT 2021","10778","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"passed","Thu Aug 19 13:53:21 GMT 2021","Thu Aug 19 13:53:36 GMT 2021","14612","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adatok törlése",""
"broken","Thu Aug 19 13:52:27 GMT 2021","Thu Aug 19 13:52:41 GMT 2021","14051","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"passed","Thu Aug 19 13:54:03 GMT 2021","Thu Aug 19 13:54:12 GMT 2021","8993","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"broken","Thu Aug 19 13:52:14 GMT 2021","Thu Aug 19 13:52:27 GMT 2021","12750","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
"passed","Thu Aug 19 13:54:31 GMT 2021","Thu Aug 19 13:54:40 GMT 2021","8792","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"passed","Thu Aug 19 13:54:51 GMT 2021","Thu Aug 19 13:55:05 GMT 2021","13930","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"passed","Thu Aug 19 13:54:12 GMT 2021","Thu Aug 19 13:54:22 GMT 2021","9718","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"passed","Thu Aug 19 13:53:36 GMT 2021","Thu Aug 19 13:53:52 GMT 2021","16227","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"passed","Thu Aug 19 13:53:07 GMT 2021","Thu Aug 19 13:53:21 GMT 2021","13878","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"passed","Thu Aug 19 13:54:40 GMT 2021","Thu Aug 19 13:54:51 GMT 2021","10763","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - könyv bemutató",""
