"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 21:59:42 GMT 2021","Thu Aug 19 22:00:02 GMT 2021","19633","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"passed","Thu Aug 19 22:01:31 GMT 2021","Thu Aug 19 22:01:42 GMT 2021","11120","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"passed","Thu Aug 19 22:01:21 GMT 2021","Thu Aug 19 22:01:31 GMT 2021","10316","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"passed","Thu Aug 19 22:02:45 GMT 2021","Thu Aug 19 22:02:57 GMT 2021","11742","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"passed","Thu Aug 19 22:01:53 GMT 2021","Thu Aug 19 22:02:03 GMT 2021","10176","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"passed","Thu Aug 19 22:02:34 GMT 2021","Thu Aug 19 22:02:45 GMT 2021","11323","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"passed","Thu Aug 19 22:00:15 GMT 2021","Thu Aug 19 22:00:31 GMT 2021","15981","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"passed","Thu Aug 19 22:00:02 GMT 2021","Thu Aug 19 22:00:15 GMT 2021","13540","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Thu Aug 19 22:02:03 GMT 2021","Thu Aug 19 22:02:17 GMT 2021","13506","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - könyv bemutató",""
"passed","Thu Aug 19 22:01:42 GMT 2021","Thu Aug 19 22:01:53 GMT 2021","11298","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Thu Aug 19 21:59:05 GMT 2021","Thu Aug 19 21:59:21 GMT 2021","15913","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"passed","Thu Aug 19 22:02:17 GMT 2021","Thu Aug 19 22:02:34 GMT 2021","17013","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Thu Aug 19 21:59:25 GMT 2021","Thu Aug 19 21:59:42 GMT 2021","16718","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"passed","Thu Aug 19 22:00:31 GMT 2021","Thu Aug 19 22:00:49 GMT 2021","17997","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adatok törlése",""
"broken","Thu Aug 19 21:59:21 GMT 2021","Thu Aug 19 21:59:25 GMT 2021","4061","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
"passed","Thu Aug 19 22:00:49 GMT 2021","Thu Aug 19 22:01:08 GMT 2021","18720","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"passed","Thu Aug 19 22:01:08 GMT 2021","Thu Aug 19 22:01:21 GMT 2021","12436","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
