"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 21:01:32 GMT 2021","Fri Aug 20 21:01:41 GMT 2021","9646","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","TC-6  Sikertelen bejelentkezés teszt -helytelen mail",""
"passed","Fri Aug 20 21:00:37 GMT 2021","Fri Aug 20 21:00:54 GMT 2021","17530","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","TC-16  Adat vagy adatok törlése",""
"passed","Fri Aug 20 21:02:35 GMT 2021","Fri Aug 20 21:02:45 GMT 2021","10177","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","TC-3  Sikertelen regisztráció teszt - üres adatmezőkkel",""
"passed","Fri Aug 20 21:00:10 GMT 2021","Fri Aug 20 21:00:22 GMT 2021","12121","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","TC-15  Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Fri Aug 20 20:59:21 GMT 2021","Fri Aug 20 20:59:29 GMT 2021","7799","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","TC-18  Sikeres kijeletkezés teszt",""
"passed","Fri Aug 20 21:01:51 GMT 2021","Fri Aug 20 21:02:00 GMT 2021","9036","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","TC-7  Sikertelen bejelentkezés teszt -üres mail mező",""
"passed","Fri Aug 20 21:01:41 GMT 2021","Fri Aug 20 21:01:51 GMT 2021","9736","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","TC-5  Sikertelen bejelentkezés teszt -helytelen jelszó",""
"passed","Fri Aug 20 21:00:54 GMT 2021","Fri Aug 20 21:01:12 GMT 2021","17723","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","TC-12  Új adat bevitel",""
"passed","Fri Aug 20 20:59:29 GMT 2021","Fri Aug 20 20:59:39 GMT 2021","9770","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","TC-9  Adatkezelési nyilatkozat használata teszt - adatmentéssel",""
"passed","Fri Aug 20 21:01:12 GMT 2021","Fri Aug 20 21:01:22 GMT 2021","10492","","login.LoginPageTest","","login.LoginPageTest","LoginTest","TC-4  Sikeres bejelentkezés teszt",""
"passed","Fri Aug 20 20:59:39 GMT 2021","Fri Aug 20 20:59:51 GMT 2021","12142","","search.SearchPageTest","","search.SearchPageTest","dataListTest","TC-10  Adatok listázása - szűrés",""
"passed","Fri Aug 20 21:02:11 GMT 2021","Fri Aug 20 21:02:25 GMT 2021","13822","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","TC-11  Több oldalas lista bejárás teszt",""
"passed","Fri Aug 20 21:02:25 GMT 2021","Fri Aug 20 21:02:35 GMT 2021","10064","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","TC-2  Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"passed","Fri Aug 20 21:01:22 GMT 2021","Fri Aug 20 21:01:32 GMT 2021","9158","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","TC-8  Sikertelen bejelentkezés teszt -üres jelszó mező",""
"passed","Fri Aug 20 21:02:00 GMT 2021","Fri Aug 20 21:02:11 GMT 2021","11166","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","TC-17  Adatok lementése felületről teszt - könyv bemutató",""
"passed","Fri Aug 20 21:00:22 GMT 2021","Fri Aug 20 21:00:37 GMT 2021","14250","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","TC-13  Ismételt és sorozatos adatbevitel adatforrásból - számlázási cím módosítása",""
"passed","Fri Aug 20 20:59:51 GMT 2021","Fri Aug 20 21:00:10 GMT 2021","19347","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","TC-14  Meglévő adat módosítása - jelszó módosítása",""
