"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","18","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - Könyv bemutató",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","7","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","6","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - Jelszó módosítása",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","5","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","1","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","8","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","2","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","17","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentés",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","2","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - Profil kitöltés",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","13","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - Sikertelen jelszó módosítás",""
"passed","Wed Aug 18 13:54:43 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","4809","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","2","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","2","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"passed","Wed Aug 18 13:54:43 GMT 2021","Wed Aug 18 13:54:55 GMT 2021","12268","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","3","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"broken","Wed Aug 18 13:54:48 GMT 2021","Wed Aug 18 13:54:48 GMT 2021","2","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
