"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","14","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","12","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","13","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","21","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - könyv bemutató",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","24","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"broken","Thu Aug 19 11:34:31 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","16","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","19","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","17","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","17","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","12","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"broken","Thu Aug 19 11:34:31 GMT 2021","Thu Aug 19 11:34:31 GMT 2021","34","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"passed","Thu Aug 19 11:34:01 GMT 2021","Thu Aug 19 11:34:31 GMT 2021","29915","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","21","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","21","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"broken","Thu Aug 19 11:34:31 GMT 2021","Thu Aug 19 11:34:31 GMT 2021","38","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","25","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"broken","Thu Aug 19 11:34:32 GMT 2021","Thu Aug 19 11:34:32 GMT 2021","16","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adatok törlése",""
