"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 20:04:42 GMT 2021","Thu Aug 19 20:04:45 GMT 2021","2700","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
"passed","Thu Aug 19 20:05:39 GMT 2021","Thu Aug 19 20:05:53 GMT 2021","14591","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adatok törlése",""
"passed","Thu Aug 19 20:07:23 GMT 2021","Thu Aug 19 20:07:32 GMT 2021","9755","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"passed","Thu Aug 19 20:06:10 GMT 2021","Thu Aug 19 20:06:21 GMT 2021","10761","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"broken","Thu Aug 19 20:04:28 GMT 2021","Thu Aug 19 20:04:42 GMT 2021","14122","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"passed","Thu Aug 19 20:06:21 GMT 2021","Thu Aug 19 20:06:30 GMT 2021","9076","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"passed","Thu Aug 19 20:04:59 GMT 2021","Thu Aug 19 20:05:14 GMT 2021","15680","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"passed","Thu Aug 19 20:06:58 GMT 2021","Thu Aug 19 20:07:09 GMT 2021","11027","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - könyv bemutató",""
"passed","Thu Aug 19 20:07:09 GMT 2021","Thu Aug 19 20:07:23 GMT 2021","13449","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Thu Aug 19 20:04:45 GMT 2021","Thu Aug 19 20:04:59 GMT 2021","13749","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"passed","Thu Aug 19 20:05:53 GMT 2021","Thu Aug 19 20:06:10 GMT 2021","16737","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"passed","Thu Aug 19 20:06:49 GMT 2021","Thu Aug 19 20:06:58 GMT 2021","8748","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"passed","Thu Aug 19 20:06:40 GMT 2021","Thu Aug 19 20:06:49 GMT 2021","9615","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"passed","Thu Aug 19 20:06:30 GMT 2021","Thu Aug 19 20:06:40 GMT 2021","9707","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"passed","Thu Aug 19 20:05:14 GMT 2021","Thu Aug 19 20:05:26 GMT 2021","11356","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Thu Aug 19 20:07:32 GMT 2021","Thu Aug 19 20:07:42 GMT 2021","9812","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"passed","Thu Aug 19 20:05:26 GMT 2021","Thu Aug 19 20:05:39 GMT 2021","13161","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
