"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 11:42:38 GMT 2021","Thu Aug 19 11:42:49 GMT 2021","10599","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"passed","Thu Aug 19 11:41:49 GMT 2021","Thu Aug 19 11:42:07 GMT 2021","17944","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adatok törlése",""
"passed","Thu Aug 19 11:43:53 GMT 2021","Thu Aug 19 11:44:04 GMT 2021","11202","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"broken","Thu Aug 19 11:40:41 GMT 2021","Thu Aug 19 11:40:45 GMT 2021","4020","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
"passed","Thu Aug 19 11:42:07 GMT 2021","Thu Aug 19 11:42:26 GMT 2021","19051","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"passed","Thu Aug 19 11:44:04 GMT 2021","Thu Aug 19 11:44:16 GMT 2021","12057","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"passed","Thu Aug 19 11:42:49 GMT 2021","Thu Aug 19 11:43:01 GMT 2021","11794","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"passed","Thu Aug 19 11:41:33 GMT 2021","Thu Aug 19 11:41:49 GMT 2021","16473","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"passed","Thu Aug 19 11:43:01 GMT 2021","Thu Aug 19 11:43:12 GMT 2021","11393","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"passed","Thu Aug 19 11:41:01 GMT 2021","Thu Aug 19 11:41:19 GMT 2021","18086","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"passed","Thu Aug 19 11:43:36 GMT 2021","Thu Aug 19 11:43:53 GMT 2021","16265","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Thu Aug 19 11:40:25 GMT 2021","Thu Aug 19 11:40:41 GMT 2021","15843","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"passed","Thu Aug 19 11:41:19 GMT 2021","Thu Aug 19 11:41:33 GMT 2021","13619","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Thu Aug 19 11:43:22 GMT 2021","Thu Aug 19 11:43:36 GMT 2021","13854","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - könyv bemutató",""
"broken","Thu Aug 19 11:40:45 GMT 2021","Thu Aug 19 11:41:01 GMT 2021","16402","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"passed","Thu Aug 19 11:43:12 GMT 2021","Thu Aug 19 11:43:22 GMT 2021","10224","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"passed","Thu Aug 19 11:42:26 GMT 2021","Thu Aug 19 11:42:38 GMT 2021","12043","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
