"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 07:53:15 GMT 2021","Sun Aug 22 07:53:34 GMT 2021","18416","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","TC-14  Meglévő adat módosítása - jelszó módosítása",""
"passed","Sun Aug 22 07:55:04 GMT 2021","Sun Aug 22 07:55:14 GMT 2021","9871","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","TC-5  Sikertelen bejelentkezés teszt -helytelen jelszó",""
"passed","Sun Aug 22 07:55:57 GMT 2021","Sun Aug 22 07:56:07 GMT 2021","9899","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","TC-3  Sikertelen regisztráció teszt - üres adatmezőkkel",""
"passed","Sun Aug 22 07:54:54 GMT 2021","Sun Aug 22 07:55:04 GMT 2021","9741","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","TC-6  Sikertelen bejelentkezés teszt -helytelen mail",""
"passed","Sun Aug 22 07:55:14 GMT 2021","Sun Aug 22 07:55:22 GMT 2021","8822","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","TC-7  Sikertelen bejelentkezés teszt -üres mail mező",""
"passed","Sun Aug 22 07:52:45 GMT 2021","Sun Aug 22 07:52:53 GMT 2021","7769","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","TC-18  Sikeres kijeletkezés teszt",""
"passed","Sun Aug 22 07:53:34 GMT 2021","Sun Aug 22 07:53:45 GMT 2021","11763","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","TC-15  Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Sun Aug 22 07:55:22 GMT 2021","Sun Aug 22 07:55:33 GMT 2021","10961","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","TC-17  Adatok lementése felületről teszt - könyv bemutató",""
"passed","Sun Aug 22 07:54:34 GMT 2021","Sun Aug 22 07:54:45 GMT 2021","10576","","login.LoginPageTest","","login.LoginPageTest","LoginTest","TC-4  Sikeres bejelentkezés teszt",""
"passed","Sun Aug 22 07:54:17 GMT 2021","Sun Aug 22 07:54:34 GMT 2021","17365","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","TC-12  Új adat bevitel",""
"passed","Sun Aug 22 07:53:03 GMT 2021","Sun Aug 22 07:53:15 GMT 2021","12183","","search.SearchPageTest","","search.SearchPageTest","dataListTest","TC-10  Adatok listázása - szűrés",""
"passed","Sun Aug 22 07:53:45 GMT 2021","Sun Aug 22 07:53:59 GMT 2021","13772","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","TC-13  Ismételt és sorozatos adatbevitel adatforrásból - számlázási cím módosítása",""
"passed","Sun Aug 22 07:53:59 GMT 2021","Sun Aug 22 07:54:17 GMT 2021","17860","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","TC-16  Adat vagy adatok törlése",""
"passed","Sun Aug 22 07:55:33 GMT 2021","Sun Aug 22 07:55:47 GMT 2021","13693","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","TC-11  Több oldalas lista bejárás teszt",""
"passed","Sun Aug 22 07:54:45 GMT 2021","Sun Aug 22 07:54:54 GMT 2021","9023","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","TC-8  Sikertelen bejelentkezés teszt -üres jelszó mező",""
"passed","Sun Aug 22 07:55:47 GMT 2021","Sun Aug 22 07:55:57 GMT 2021","9658","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","TC-2  Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"passed","Sun Aug 22 07:52:53 GMT 2021","Sun Aug 22 07:53:03 GMT 2021","9782","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","TC-9  Adatkezelési nyilatkozat használata teszt - adatmentéssel",""
