"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 09:24:49 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","26","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","27","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","19","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","34","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - könyv bemutató",""
"broken","Thu Aug 19 09:24:49 GMT 2021","Thu Aug 19 09:24:49 GMT 2021","49","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","23","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","28","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"broken","Thu Aug 19 09:24:49 GMT 2021","Thu Aug 19 09:24:49 GMT 2021","28","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"broken","Thu Aug 19 09:24:49 GMT 2021","Thu Aug 19 09:24:49 GMT 2021","17","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","23","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adadtok törlése",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","19","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","20","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"passed","Thu Aug 19 09:24:25 GMT 2021","Thu Aug 19 09:24:49 GMT 2021","23769","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","14","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","21","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","17","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"broken","Thu Aug 19 09:24:50 GMT 2021","Thu Aug 19 09:24:50 GMT 2021","43","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
