"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","11","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","15","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","2","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Wed Aug 18 14:34:54 GMT 2021","Wed Aug 18 14:34:54 GMT 2021","12","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","2","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"broken","Wed Aug 18 14:34:52 GMT 2021","Wed Aug 18 14:34:52 GMT 2021","2","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","18","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - Sikertelen jelszó módosítás",""
"passed","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:54 GMT 2021","3523","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentés",""
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","4","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","3","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","36","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","31","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - Jelszó módosítása",""
"broken","Wed Aug 18 14:34:52 GMT 2021","Wed Aug 18 14:34:52 GMT 2021","2","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"broken","Wed Aug 18 14:34:52 GMT 2021","Wed Aug 18 14:34:52 GMT 2021","14","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - Könyv bemutató",""
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","3","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - Profil kitöltés",""
"broken","Wed Aug 18 14:34:51 GMT 2021","Wed Aug 18 14:34:51 GMT 2021","35","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
