"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 22:48:03 GMT 2021","Wed Aug 18 22:48:03 GMT 2021","15","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","6","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","3","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","2","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","5","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","3","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"passed","Wed Aug 18 22:47:58 GMT 2021","Wed Aug 18 22:48:03 GMT 2021","5757","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","4","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","3","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"broken","Wed Aug 18 22:48:03 GMT 2021","Wed Aug 18 22:48:03 GMT 2021","3","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","2","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","12","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","2","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - Könyv bemutató",""
"passed","Wed Aug 18 22:47:57 GMT 2021","Wed Aug 18 22:48:00 GMT 2021","3036","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","11","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","6","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adadtok törlése",""
"broken","Wed Aug 18 22:48:04 GMT 2021","Wed Aug 18 22:48:04 GMT 2021","6","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
