"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","16","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - Könyv bemutató",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","19","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","2","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adadtok törlése",""
"passed","Wed Aug 18 22:37:14 GMT 2021","Wed Aug 18 22:37:19 GMT 2021","5394","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","13","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","4","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","12","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","2","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","53","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","2","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","4","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","4","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","16","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","3","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","4","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","2","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Wed Aug 18 22:37:20 GMT 2021","Wed Aug 18 22:37:20 GMT 2021","3","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
