"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 21:25:54 GMT 2021","Fri Aug 20 21:26:06 GMT 2021","11677","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","TC-3  Sikertelen regisztráció teszt - üres adatmezőkkel",""
"passed","Fri Aug 20 21:22:59 GMT 2021","Fri Aug 20 21:23:25 GMT 2021","25751","","search.SearchPageTest","","search.SearchPageTest","dataListTest","TC-10  Adatok listázása - szűrés",""
"passed","Fri Aug 20 21:24:32 GMT 2021","Fri Aug 20 21:24:53 GMT 2021","21809","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","TC-16  Adat vagy adatok törlése",""
"passed","Fri Aug 20 21:25:14 GMT 2021","Fri Aug 20 21:25:26 GMT 2021","12406","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","TC-17  Adatok lementése felületről teszt - könyv bemutató",""
"passed","Fri Aug 20 21:24:53 GMT 2021","Fri Aug 20 21:25:14 GMT 2021","20080","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","TC-12  Új adat bevitel",""
"passed","Fri Aug 20 21:24:15 GMT 2021","Fri Aug 20 21:24:32 GMT 2021","16220","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","TC-13  Ismételt és sorozatos adatbevitel adatforrásból - számlázási cím módosítása",""
"passed","Fri Aug 20 21:23:15 GMT 2021","Fri Aug 20 21:23:27 GMT 2021","12076","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","TC-18  Sikeres kijeletkezés teszt",""
"passed","Fri Aug 20 21:23:27 GMT 2021","Fri Aug 20 21:23:39 GMT 2021","11774","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","TC-9  Adatkezelési nyilatkozat használata teszt - adatmentéssel",""
"passed","Fri Aug 20 21:24:02 GMT 2021","Fri Aug 20 21:24:15 GMT 2021","13506","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","TC-15  Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Fri Aug 20 21:23:39 GMT 2021","Fri Aug 20 21:24:02 GMT 2021","22695","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","TC-14  Meglévő adat módosítása - jelszó módosítása",""
"passed","Fri Aug 20 21:25:26 GMT 2021","Fri Aug 20 21:25:43 GMT 2021","16632","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","TC-11  Több oldalas lista bejárás teszt",""
"broken","Fri Aug 20 21:23:20 GMT 2021","Fri Aug 20 21:23:24 GMT 2021","4451","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","TC-6  Sikertelen bejelentkezés teszt -helytelen mail",""
"passed","Fri Aug 20 21:25:43 GMT 2021","Fri Aug 20 21:25:54 GMT 2021","11254","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","TC-2  Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"broken","Fri Aug 20 21:22:59 GMT 2021","Fri Aug 20 21:23:15 GMT 2021","15097","","login.LoginPageTest","","login.LoginPageTest","LoginTest","TC-4  Sikeres bejelentkezés teszt",""
"broken","Fri Aug 20 21:23:28 GMT 2021","Fri Aug 20 21:23:32 GMT 2021","3625","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","TC-7  Sikertelen bejelentkezés teszt -üres mail mező",""
"broken","Fri Aug 20 21:23:24 GMT 2021","Fri Aug 20 21:23:28 GMT 2021","4158","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","TC-5  Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Fri Aug 20 21:23:15 GMT 2021","Fri Aug 20 21:23:20 GMT 2021","4590","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","TC-8  Sikertelen bejelentkezés teszt -üres jelszó mező",""
