"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 22:37:25 GMT 2021","Thu Aug 19 22:37:41 GMT 2021","15707","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"passed","Thu Aug 19 22:38:41 GMT 2021","Thu Aug 19 22:38:53 GMT 2021","11865","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"passed","Thu Aug 19 22:39:56 GMT 2021","Thu Aug 19 22:40:08 GMT 2021","11894","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"passed","Thu Aug 19 22:39:04 GMT 2021","Thu Aug 19 22:39:15 GMT 2021","10333","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"passed","Thu Aug 19 22:38:53 GMT 2021","Thu Aug 19 22:39:04 GMT 2021","11140","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"passed","Thu Aug 19 22:37:11 GMT 2021","Thu Aug 19 22:37:25 GMT 2021","13949","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Thu Aug 19 22:39:45 GMT 2021","Thu Aug 19 22:39:56 GMT 2021","11193","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"passed","Thu Aug 19 22:38:31 GMT 2021","Thu Aug 19 22:38:41 GMT 2021","10044","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"broken","Thu Aug 19 22:37:41 GMT 2021","Thu Aug 19 22:38:03 GMT 2021","22499","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adatok törlése",""
"passed","Thu Aug 19 22:38:19 GMT 2021","Thu Aug 19 22:38:31 GMT 2021","12376","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"passed","Thu Aug 19 22:39:28 GMT 2021","Thu Aug 19 22:39:45 GMT 2021","16681","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Thu Aug 19 22:36:29 GMT 2021","Thu Aug 19 22:36:48 GMT 2021","19059","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"passed","Thu Aug 19 22:36:07 GMT 2021","Thu Aug 19 22:36:18 GMT 2021","10659","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"passed","Thu Aug 19 22:39:15 GMT 2021","Thu Aug 19 22:39:28 GMT 2021","13467","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - könyv bemutató",""
"broken","Thu Aug 19 22:38:03 GMT 2021","Thu Aug 19 22:38:19 GMT 2021","15516","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"passed","Thu Aug 19 22:36:48 GMT 2021","Thu Aug 19 22:37:11 GMT 2021","23007","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"passed","Thu Aug 19 22:36:18 GMT 2021","Thu Aug 19 22:36:29 GMT 2021","11234","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
