"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 18:49:12 GMT 2021","Fri Aug 20 18:49:29 GMT 2021","17008","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"passed","Fri Aug 20 18:49:43 GMT 2021","Fri Aug 20 18:49:56 GMT 2021","12391","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"passed","Fri Aug 20 18:51:20 GMT 2021","Fri Aug 20 18:51:32 GMT 2021","12044","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"broken","Fri Aug 20 18:49:05 GMT 2021","Fri Aug 20 18:49:27 GMT 2021","22673","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adatok törlése",""
"passed","Fri Aug 20 18:50:52 GMT 2021","Fri Aug 20 18:51:09 GMT 2021","17183","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"passed","Fri Aug 20 18:51:09 GMT 2021","Fri Aug 20 18:51:20 GMT 2021","11414","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"passed","Fri Aug 20 18:50:06 GMT 2021","Fri Aug 20 18:50:17 GMT 2021","11135","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"broken","Fri Aug 20 18:49:27 GMT 2021","Fri Aug 20 18:49:43 GMT 2021","15953","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"passed","Fri Aug 20 18:50:38 GMT 2021","Fri Aug 20 18:50:52 GMT 2021","13541","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - könyv bemutató",""
"passed","Fri Aug 20 18:50:17 GMT 2021","Fri Aug 20 18:50:28 GMT 2021","11078","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"passed","Fri Aug 20 18:48:39 GMT 2021","Fri Aug 20 18:48:58 GMT 2021","18479","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"passed","Fri Aug 20 18:48:58 GMT 2021","Fri Aug 20 18:49:12 GMT 2021","14038","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Fri Aug 20 18:49:56 GMT 2021","Fri Aug 20 18:50:06 GMT 2021","10001","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"passed","Fri Aug 20 18:50:28 GMT 2021","Fri Aug 20 18:50:38 GMT 2021","9923","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"broken","Fri Aug 20 18:48:46 GMT 2021","Fri Aug 20 18:49:05 GMT 2021","18674","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"passed","Fri Aug 20 18:48:35 GMT 2021","Fri Aug 20 18:48:46 GMT 2021","10651","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"broken","Fri Aug 20 18:48:27 GMT 2021","Fri Aug 20 18:48:35 GMT 2021","8383","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
