"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 21:50:07 GMT 2021","Fri Aug 20 21:50:18 GMT 2021","11569","","login.LoginPageTest","","login.LoginPageTest","LoginTest","TC-4  Sikeres bejelentkezés teszt",""
"passed","Fri Aug 20 21:48:20 GMT 2021","Fri Aug 20 21:48:35 GMT 2021","14931","","search.SearchPageTest","","search.SearchPageTest","dataListTest","TC-10  Adatok listázása - szűrés",""
"passed","Fri Aug 20 21:51:15 GMT 2021","Fri Aug 20 21:51:32 GMT 2021","16320","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","TC-11  Több oldalas lista bejárás teszt",""
"passed","Fri Aug 20 21:47:58 GMT 2021","Fri Aug 20 21:48:09 GMT 2021","10378","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","TC-18  Sikeres kijeletkezés teszt",""
"passed","Fri Aug 20 21:49:26 GMT 2021","Fri Aug 20 21:49:47 GMT 2021","20704","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","TC-16  Adat vagy adatok törlése",""
"passed","Fri Aug 20 21:49:47 GMT 2021","Fri Aug 20 21:50:07 GMT 2021","19944","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","TC-12  Új adat bevitel",""
"passed","Fri Aug 20 21:51:43 GMT 2021","Fri Aug 20 21:51:54 GMT 2021","11123","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","TC-3  Sikertelen regisztráció teszt - üres adatmezőkkel",""
"passed","Fri Aug 20 21:50:29 GMT 2021","Fri Aug 20 21:50:40 GMT 2021","11449","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","TC-6  Sikertelen bejelentkezés teszt -helytelen mail",""
"passed","Fri Aug 20 21:50:18 GMT 2021","Fri Aug 20 21:50:29 GMT 2021","10492","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","TC-8  Sikertelen bejelentkezés teszt -üres jelszó mező",""
"passed","Fri Aug 20 21:49:11 GMT 2021","Fri Aug 20 21:49:26 GMT 2021","15323","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","TC-13  Ismételt és sorozatos adatbevitel adatforrásból - számlázási cím módosítása",""
"passed","Fri Aug 20 21:48:35 GMT 2021","Fri Aug 20 21:48:57 GMT 2021","22158","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","TC-14  Meglévő adat módosítása - jelszó módosítása",""
"passed","Fri Aug 20 21:51:32 GMT 2021","Fri Aug 20 21:51:43 GMT 2021","11112","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","TC-2  Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"passed","Fri Aug 20 21:50:51 GMT 2021","Fri Aug 20 21:51:02 GMT 2021","10154","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","TC-7  Sikertelen bejelentkezés teszt -üres mail mező",""
"passed","Fri Aug 20 21:48:09 GMT 2021","Fri Aug 20 21:48:20 GMT 2021","11325","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","TC-9  Adatkezelési nyilatkozat használata teszt - adatmentéssel",""
"passed","Fri Aug 20 21:48:57 GMT 2021","Fri Aug 20 21:49:11 GMT 2021","13185","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","TC-15  Meglévő adat módosítása - sikertelen jelszó módosítás",""
"passed","Fri Aug 20 21:50:40 GMT 2021","Fri Aug 20 21:50:51 GMT 2021","11386","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","TC-5  Sikertelen bejelentkezés teszt -helytelen jelszó",""
"passed","Fri Aug 20 21:51:02 GMT 2021","Fri Aug 20 21:51:15 GMT 2021","13720","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","TC-17  Adatok lementése felületről teszt - könyv bemutató",""
