"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","0","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","1","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","3","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","3","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","3","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - Sikertelen jelszó módosítás",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","6","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - Jelszó módosítása",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","19","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentés",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","19","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","7","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"passed","Wed Aug 18 14:26:07 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","5870","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","1","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","1","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","4","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - Profil kitöltés",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","4","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - Könyv bemutató",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","3","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"broken","Wed Aug 18 14:26:13 GMT 2021","Wed Aug 18 14:26:13 GMT 2021","0","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
