"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 11:31:26 GMT 2021","Thu Aug 19 11:31:44 GMT 2021","17701","","logout.LogoutPageTest","","logout.LogoutPageTest","LogoutTest","Sikeres kijeletkezés teszt",""
"broken","Thu Aug 19 11:31:45 GMT 2021","Thu Aug 19 11:31:45 GMT 2021","16","","expertadvice.ExpertAdvicePageTest","","expertadvice.ExpertAdvicePageTest","paginationTest","Több oldalas lista bejárás teszt",""
"broken","Thu Aug 19 11:31:44 GMT 2021","Thu Aug 19 11:31:44 GMT 2021","21","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","addressDataTest","Ismételt és sorozatos adatbevitel adatforrásból - profil kitöltés",""
"broken","Thu Aug 19 11:31:45 GMT 2021","Thu Aug 19 11:31:45 GMT 2021","17","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidPasswordTest","Sikertelen bejelentkezés teszt -helytelen jelszó",""
"broken","Thu Aug 19 11:31:44 GMT 2021","Thu Aug 19 11:31:44 GMT 2021","16","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataDeleteTest","Adat vagy adatok törlése",""
"broken","Thu Aug 19 11:31:45 GMT 2021","Thu Aug 19 11:31:45 GMT 2021","22","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationInvalidPasswordTest","Sikertelen regisztráció teszt - generált adatokkal, jelszómegerősítés különbözik",""
"broken","Thu Aug 19 11:31:45 GMT 2021","Thu Aug 19 11:31:45 GMT 2021","18","","book.BookPageTest","","book.BookPageTest","dataBookSaveToFileTest","Adatok lementése felületről teszt - könyv bemutató",""
"broken","Thu Aug 19 11:31:45 GMT 2021","Thu Aug 19 11:31:45 GMT 2021","15","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmailTest","Sikertelen bejelentkezés teszt -helytelen mail",""
"broken","Thu Aug 19 11:31:45 GMT 2021","Thu Aug 19 11:31:45 GMT 2021","20","","registration.RegistrationPageTest","","registration.RegistrationPageTest","RegistrationEmptyFieldTest","Sikertelen regisztráció teszt - üres adatmezőkkel",""
"broken","Thu Aug 19 11:31:45 GMT 2021","Thu Aug 19 11:31:45 GMT 2021","22","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyPWTest","Sikertelen bejelentkezés teszt -üres jelszó",""
"broken","Thu Aug 19 11:31:45 GMT 2021","Thu Aug 19 11:31:45 GMT 2021","18","","login.LoginPageTest","","login.LoginPageTest","LoginInvalidEmptyETest","Sikertelen bejelentkezés teszt -üres mail",""
"broken","Thu Aug 19 11:31:44 GMT 2021","Thu Aug 19 11:31:44 GMT 2021","20","","wish.WishlistPageTest","","wish.WishlistPageTest","wishlistDataTest","Új adat bevitel",""
"broken","Thu Aug 19 11:31:44 GMT 2021","Thu Aug 19 11:31:44 GMT 2021","31","","search.SearchPageTest","","search.SearchPageTest","dataListTest","Adatok listázása - szűrés",""
"broken","Thu Aug 19 11:31:44 GMT 2021","Thu Aug 19 11:31:44 GMT 2021","26","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordInvalidTest","Meglévő adat módosítása - sikertelen jelszó módosítás",""
"broken","Thu Aug 19 11:31:44 GMT 2021","Thu Aug 19 11:31:44 GMT 2021","15","","customer.CustomerAccountPageTest","","customer.CustomerAccountPageTest","changePasswordTest","Meglévő adat módosítása - jelszó módosítása",""
"broken","Thu Aug 19 11:31:44 GMT 2021","Thu Aug 19 11:31:44 GMT 2021","46","","privacypolicy.PrivacyPolicyPageTest","","privacypolicy.PrivacyPolicyPageTest","PrivacyPolicySaveToFileTest","Adadtkezelési nyilatkozat használata teszt - adatmentéssel",""
"broken","Thu Aug 19 11:31:44 GMT 2021","Thu Aug 19 11:31:44 GMT 2021","19","","login.LoginPageTest","","login.LoginPageTest","LoginTest","Sikeres bejelentkezés teszt",""
